Condicao,Primer,Replicate,Ct_gene,Ct_ref
Cultura_pura,E_coli_K12,1,14.35,10.48
Cultura_pura,E_coli_K12,2,14.39,10.73
Cultura_pura,E_coli_K12,3,14.13,10.46
Co-cultura,E_coli_K12,1,16.27,10.62
Co-cultura,E_coli_K12,2,15.66,10.58
Co-cultura,E_coli_K12,3,15.66,10.43
Cultura_pura,S_enterica,1,15.57,10.21
Cultura_pura,S_enterica,2,14.98,10.42
Cultura_pura,S_enterica,3,15.2,10.55
Co-cultura,S_enterica,1,18.93,10.29
Co-cultura,S_enterica,2,19.64,10.47
Co-cultura,S_enterica,3,19.22,10.29
Cultura_pura,L_acidophilus,1,19.64,10.52
Cultura_pura,L_acidophilus,2,19.45,10.56
Cultura_pura,L_acidophilus,3,19.62,10.46
Co-cultura,L_acidophilus,1,16.32,10.78
Co-cultura,L_acidophilus,2,16.5,10.34
Co-cultura,L_acidophilus,3,16.75,10.32
Cultura_pura,C_difficile,1,18.46,10.21
Cultura_pura,C_difficile,2,18.0,10.53
Cultura_pura,C_difficile,3,18.62,10.53
Co-cultura,C_difficile,1,36.94,10.45
Co-cultura,C_difficile,2,36.78,10.42
Co-cultura,C_difficile,3,35.7,10.24
Cultura_pura,S_cerevisiae,1,18.17,10.63
Cultura_pura,S_cerevisiae,2,18.27,10.61
Cultura_pura,S_cerevisiae,3,17.94,10.41
Co-cultura,S_cerevisiae,1,20.85,10.66
Co-cultura,S_cerevisiae,2,21.25,10.44
Co-cultura,S_cerevisiae,3,21.65,10.37
Cultura_pura,C_albicans,1,22.35,10.54
Cultura_pura,C_albicans,2,21.79,10.49
Cultura_pura,C_albicans,3,22.39,10.62
Co-cultura,C_albicans,1,31.25,10.55
Co-cultura,C_albicans,2,31.81,10.36
Co-cultura,C_albicans,3,30.68,10.49
